2026-01-30 10:55:51,309 - AppLogger - INFO - Service: ElevenLabs | Event: RETRY_EXHAUSTED | Retry: 4 | Circuit: CLOSED | Details: Max retries (3) exceeded.
2026-01-30 10:55:51,311 - AppLogger - INFO - Service: ElevenLabs | Event: FAILURE_COUNT | Retry: 0 | Circuit: CLOSED | Details: 3/3
2026-01-30 10:55:51,312 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_STATE_CHANGE | Retry: 0 | Circuit: OPEN | Details: Transitioned to OPEN
2026-01-30 10:55:51,312 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_4 due to error: 503 Service Unavailable
2026-01-30 10:55:52,316 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_5
2026-01-30 10:55:52,317 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
2026-01-30 10:55:52,317 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_5 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 10:55:53,323 - AppLogger - INFO - Service: Main | Event: PROCESS_CONTACT | Retry: 0 | Circuit: CLOSED | Details: Processing contact: User_6
2026-01-30 10:55:53,324 - AppLogger - INFO - Service: ElevenLabs | Event: CIRCUIT_OPEN_REJECT | Retry: 0 | Circuit: OPEN | Details: Call rejected due to open circuit
2026-01-30 10:55:53,325 - AppLogger - INFO - Service: Main | Event: SKIPPED | Retry: 0 | Circuit: CLOSED | Details: Skipping User_6 due to error: Circuit Breaker is OPEN for ElevenLabs
2026-01-30 10:55:59,330 - AppLogger - INFO - Service: HealthMonitor | Event: HEALTH_CHECK_INIT | Retry: 0 | Circuit: CLOSED | Details: Starting periodic health check..
